Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1163834,-,-,-,42.45,-76.46,-5,286,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,3.0.6
Year,Month,Day,Hour,Minute,Precipitable Water,Surface Albedo,Wind Speed,DNI,DHI,Temperature,GHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,14,30,0.401,0.866,1.7,715,85,0,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,15,30,0.394,0.866,1.6,524,63,-1,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,16,30,0.393,0.866,1.5,85,17,-2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,17,30,0.388,0.866,1.5,0,0,-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,18,30,0.376,0.866,1.6,0,0,-3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,19,30,0.361,0.866,1.6,0,0,-4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,20,30,0.346,0.866,1.7,0,0,-4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,21,30,0.332,0.866,1.7,0,0,-5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,22,30,0.321,0.866,1.7,0,0,-5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,4,23,30,0.313,0.866,1.6,0,0,-6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,0,30,0.304,0.866,1.5,0,0,-6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,1,30,0.296,0.866,1.4,0,0,-6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,2,30,0.298,0.866,1.3,0,0,-7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,3,30,0.307,0.866,1.2,0,0,-7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,4,30,0.314,0.866,1.1,0,0,-7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,5,30,0.323,0.866,1,0,0,-7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,6,30,0.335,0.866,0.9,0,0,-8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,7,30,0.353,0.866,0.9,0,0,-7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,8,30,0.378,0.866,1,0,11,-6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,9,30,0.422,0.866,1.1,0,27,-5,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,10,30,0.479,0.866,1.2,75,149,-5,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,11,30,0.526,0.866,1.1,61,173,-5,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,12,30,0.542,0.866,1,0,100,-5,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,13,30,0.539,0.866,0.9,0,122,-5,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,14,30,0.54,0.866,0.8,0,90,-5,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,15,30,0.547,0.866,0.6,0,47,-5,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,16,30,0.555,0.866,0.5,0,6,-6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,17,30,0.561,0.866,0.5,0,0,-6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,18,30,0.56,0.866,0.5,0,0,-6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,19,30,0.555,0.866,0.6,0,0,-6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,20,30,0.549,0.866,0.6,0,0,-7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,21,30,0.536,0.866,0.6,0,0,-7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,22,30,0.519,0.866,0.6,0,0,-7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,5,23,30,0.503,0.866,0.5,0,0,-7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,0,30,0.483,0.866,0.5,0,0,-7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,1,30,0.452,0.866,0.5,0,0,-7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,2,30,0.407,0.866,0.5,0,0,-8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,3,30,0.352,0.866,0.6,0,0,-8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,4,30,0.296,0.866,0.6,0,0,-9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,5,30,0.253,0.866,0.6,0,0,-10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,6,30,0.228,0.866,0.6,0,0,-10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,7,30,0.217,0.866,0.6,0,0,-10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,8,30,0.215,0.866,0.8,545,41,-9,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,9,30,0.22,0.866,0.9,756,67,-8,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,10,30,0.23,0.866,0.9,467,114,-7,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,11,30,0.242,0.866,0.9,0,83,-7,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,12,30,0.25,0.866,0.9,76,181,-6,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,13,30,0.256,0.866,0.8,640,91,-6,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,14,30,0.263,0.866,0.7,568,82,-6,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,15,30,0.269,0.866,0.5,428,59,-7,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,16,30,0.27,0.866,0.4,0,20,-8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,17,30,0.27,0.866,0.4,0,0,-9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,18,30,0.274,0.866,0.4,0,0,-9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,19,30,0.27,0.866,0.4,0,0,-9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,20,30,0.258,0.866,0.4,0,0,-10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,21,30,0.251,0.866,0.4,0,0,-10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,22,30,0.25,0.866,0.5,0,0,-11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,6,23,30,0.25,0.866,0.4,0,0,-12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1,7,0,30,0.25,0.866,0.4,0,0,-12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
